title,year
Downfall,2004
My Father and My Son,2005
Zombie Nightmare,1987
"Car 54, Where Are You?",1994
Theodore Rex,1995
Santa Claus Conquers the Martians,1964
After Last Season,2009
Boggy Creek II- And the Legend Continues,1984
Santa with Muscles,1996
Dragonball- Evolution,2009
Fat Slags,2004
Simon Sez,1999
A Story About Love,1995
Prince of Space,1959
Catalina Caper,1967
Breaking Wind,2012
The Blade Master,1984
Soultaker,1990
The Touch of Satan,1971
Nothing to Lose,2018
Zaat,1971
Dark Harvest II- The Maize,2004
Chairman of the Board,1998
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,1964
Sherlock Gnomes,2018
Aquaman,2018
6 Balloons,2018
The Irishman,2019
Acrimony,2018
Venom,2018
Peter Rabbit,2018
Halloween,2018
Jurassic World- Fallen Kingdom,2018
The Miracle Season,2018
Untitled Avengers Movie,2019
Rashomon,1950
A Separation,2011
For a Few Dollars More,1965
The Hunt,2012
Bicycle Thieves,1948
Girl in Gold Boots,1968
The Skydivers,1963
Track of the Moon Beast,1976
Invasion of the Neptune Men,1961
The Pumaman,1980
Anne B. Real,2003
Too Beautiful,2005
United Passions,2014
Eegah,1962
Kyaa Kool Hain Hum 3,2016
Die Hard Dracula,1998
Final Justice,1985
The Class,2007
Leonard Part 6,1987
Smolensk,2016
Five the Hard Way,1969
The Starfighters,1964
Dracula 3000,2004
Extra Terrestrial Visitors,1983
Night Train to Mundo Fine,1966
Space Mutiny,1988
Hobgoblins,1988
Glitter,2001
The Beast of Yucca Flats,1961
I Feel Pretty,2018
Overboard,2018
Beirut,2018
The Sandlot,1993
The Predator,2018
Death Wish,2018
Orbiter 9,2017
A Wrinkle in Time,2018
Game Night,2018
Upgrade,2018
Captain Marvel,2019
X-Men- Dark Phoenix,2019
The First Purge,2018
Chappaquiddick,2017
I Can Only Imagine,2018
Amlie,2001
Like Stars on Earth,2007
Your Name,2016
Das Boot,1981
Princess Mononoke,1997
WALLE,2008
Enes Batur Hayal mi Gerek mi?,2018
Ben & Arthur,2002
Birdemic 2- The Resurrection,2013
The Legend of the Titanic,1999
Going Overboard,1989
Yes Sir,2007
The Hottie & the Nottie,2008
Ram Gopal Varma's Indian Flames,2007
A Fox's Tale,2008
Potato Salad,2015
Keloglan vs. the Black Prince,2006
Zombie Nation,2004
Attack of the Jurassic Shark,2012
Birdemic- Shock and Terror,2010
Titanic- The Legend Goes On...,2000
Dream.net,2009
Turks in Space,2006
Foodfight!,2012
Manos- The Hands of Fate,1966
Daniel the Wizard,2004
Superbabies- Baby Geniuses 2,2004
Saving Christmas,2014
Deadpool 2,2018
Incredibles 2,2018
Hot Summer Nights,2017
Ghost Stories,2017
Ocean's 8,2018
The Hurricane Heist,2018
"Love, Simon",2018
Pacific Rim- Uprising,2018
Tomb Raider,2018
Isle of Dogs,2018
Blockers,2018
Truth or Dare,2018
Solo- A Star Wars Story,2018
The Meg,2018
Rampage,2018
Ready Player One,2018
Avengers- Infinity War,2018
The Lives of Others,2006
Grave of the Fireflies,1988
Sunset Boulevard,1950
The Great Dictator,1940
The Pianist,2002
The Intouchables,2011
Once Upon a Time in the West,1968
Lon- The Professional,1994
Spirited Away,2001
Life Is Beautiful,1997
