title,year
South Park            ,
Paddington 2,2017
Avatar- The Last Airbender            ,
Family Guy            ,
Archer            ,
The Simpsons            ,
Sherlock Gnomes,2018
Rick and Morty            ,
The Boss Baby- Back in Business            ,
Peter Rabbit,2018
Bob's Burgers            ,
The Predator,2018
Doctor Who            ,
A Wrinkle in Time,2018
Once Upon a Time            ,
The Crossing            ,
The Terror            ,
Lost in Space            ,
Death Wish,2018
Upgrade,2018
Titans            ,
Captain Marvel,2019
Station 19            ,
Shadowhunters- The Mortal Instruments            ,
Deep State            ,
X-Men- Dark Phoenix,2019
The First Purge,2018
Supergirl            ,
Blindspot            ,
Hawaii Five-0            ,
Deadpool 2,2018
Incredibles 2,2018
Jessica Jones            ,
Ocean's 8,2018
The Hurricane Heist,2018
Timeless            ,
Homeland            ,
A Series of Unfortunate Events            ,
Isle of Dogs,2018
Designated Survivor            ,
NCIS            ,
Vikings            ,
The Flash            ,
Pacific Rim- Uprising,2018
Krypton            ,
Tomb Raider,2018
Legion            ,
Legends of Tomorrow            ,
Agents of S.H.I.E.L.D.            ,
Gotham            ,
Money Heist            ,
Troy- Fall of a City            ,
Arrow            ,
Game of Thrones            ,
Solo- A Star Wars Story,2018
The Meg,2018
Rampage,2018
Ready Player One,2018
Avengers- Infinity War,2018
Life Is Beautiful,1997
"Sal, or the 120 Days of Sodom",1975
Pan's Labyrinth,2006
The Brave            ,
The Last Ship            ,
M*A*S*H            ,
SEAL Team            ,
Sweet Country,2017
The Wild Wild West            ,
Once Upon a Time in the West,1968
Bonanza            ,
The Cowboys,1972
Wynonna Earp            ,
The Mark of Zorro,1940
The Son            ,
Woman Walks Ahead,2017
Yellowstone            ,
The Rifleman            ,
Gone Are the Days,2018
"Walker, Texas Ranger            ",
Damnation            ,
"Dr. Quinn, Medicine Woman            ",
Hell on Wheels            ,
"The Good, the Bad and the Ugly",1966
Gunsmoke            ,
Godless            ,
Longmire            ,
The Man with the Iron Heart,2017
The Pianist,2002
Six            ,
Subedar Joginder Singh,2018
Code Name- K.O.Z.,2015
A Quiet Place,2018
Star Wars- Episode IV - A New Hope,1977
City of God,2002
Seven Samurai,1954
"The Good, the Bad and the Ugly",1966
Danes Without a Clue,1997
The Legend of Drona,2008
The Aztec Mummy Against the Humanoid Robot,1958
Body in the Web,1960
Laserblast,1978
Devil Fish,1984
I Accuse My Parents,1944
Ed,1996
Survival Island,2002
Mitchell,1975
Time Chasers,1994
10x10,2018
Super Troopers 2,2018
Come and See,1985
The Nights of Cabiria,1957
The Best Years of Our Lives,1946
In the Mood for Love,2000
Three Colors- Red,1994
The Battle of Algiers,1966
Infernal Affairs,2002
The Wizard of Oz,1939
La Haine,1995
The Grapes of Wrath,1940
The Princess Bride,1987
Nausica of the Valley of the Wind,1984
Hachi- A Dog's Tale,2009
Amores Perros,2000
The 400 Blows,1959
Memories of Murder,2003
The Wages of Fear,1953
The Passion of Joan of Arc,1928
Wild Tales,2014
Andrei Rublev,1966
The Bandit,1996
The General,1926
Sherlock Jr.,1924
Wild Strawberries,1957
The Elephant Man,1980
The Seventh Seal,1957
The Bridge on the River Kwai,1957
Howl's Moving Castle,2004
The Secret in Their Eyes,2009
My Neighbor Totoro,1988
Pan's Labyrinth,2006
Children of Heaven,1997
The Third Man,1949
Downfall,2004
My Father and My Son,2005
Zombie Nightmare,1987
"Car 54, Where Are You?",1994
Theodore Rex,1995
Santa Claus Conquers the Martians,1964
After Last Season,2009
Boggy Creek II- And the Legend Continues,1984
Santa with Muscles,1996
Dragonball- Evolution,2009
Fat Slags,2004
Simon Sez,1999
A Story About Love,1995
Prince of Space,1959
Catalina Caper,1967
Breaking Wind,2012
The Blade Master,1984
Soultaker,1990
The Touch of Satan,1971
Nothing to Lose,2018
Zaat,1971
Dark Harvest II- The Maize,2004
Chairman of the Board,1998
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,1964
Sherlock Gnomes,2018
Aquaman,2018
6 Balloons,2018
The Irishman,2019
Acrimony,2018
Venom,2018
Peter Rabbit,2018
Halloween,2018
Jurassic World- Fallen Kingdom,2018
The Miracle Season,2018
Untitled Avengers Movie,2019
Rashomon,1950
A Separation,2011
For a Few Dollars More,1965
The Hunt,2012
Bicycle Thieves,1948
Girl in Gold Boots,1968
The Skydivers,1963
Track of the Moon Beast,1976
Invasion of the Neptune Men,1961
The Pumaman,1980
Anne B. Real,2003
Too Beautiful,2005
United Passions,2014
Eegah,1962
Kyaa Kool Hain Hum 3,2016
Die Hard Dracula,1998
Final Justice,1985
The Class,2007
Leonard Part 6,1987
Smolensk,2016
Five the Hard Way,1969
The Starfighters,1964
Dracula 3000,2004
Extra Terrestrial Visitors,1983
Night Train to Mundo Fine,1966
Space Mutiny,1988
Hobgoblins,1988
Glitter,2001
The Beast of Yucca Flats,1961
I Feel Pretty,2018
Overboard,2018
Beirut,2018
The Sandlot,1993
The Predator,2018
Death Wish,2018
Orbiter 9,2017
A Wrinkle in Time,2018
Game Night,2018
Upgrade,2018
Captain Marvel,2019
X-Men- Dark Phoenix,2019
The First Purge,2018
Chappaquiddick,2017
I Can Only Imagine,2018
Amlie,2001
Like Stars on Earth,2007
Your Name,2016
Das Boot,1981
Princess Mononoke,1997
WALLE,2008
Monster a-Go Go,1965
Enes Batur Hayal mi Gerek mi?,2018
Ben & Arthur,2002
Birdemic 2- The Resurrection,2013
The Legend of the Titanic,1999
Going Overboard,1989
Yes Sir,2007
The Hottie & the Nottie,2008
Ram Gopal Varma's Indian Flames,2007
A Fox's Tale,2008
Potato Salad,2015
Keloglan vs. the Black Prince,2006
Zombie Nation,2004
Attack of the Jurassic Shark,2012
Birdemic- Shock and Terror,2010
Titanic- The Legend Goes On...,2000
Dream.net,2009
Turks in Space,2006
Foodfight!,2012
Manos- The Hands of Fate,1966
Daniel the Wizard,2004
Superbabies- Baby Geniuses 2,2004
Saving Christmas,2014
Deadpool 2,2018
Incredibles 2,2018
Hot Summer Nights,2017
Ghost Stories,2017
Ocean's 8,2018
The Hurricane Heist,2018
"Love, Simon",2018
Pacific Rim- Uprising,2018
Tomb Raider,2018
Isle of Dogs,2018
Blockers,2018
Truth or Dare,2018
Solo- A Star Wars Story,2018
The Meg,2018
Rampage,2018
Ready Player One,2018
Avengers- Infinity War,2018
The Lives of Others,2006
Grave of the Fireflies,1988
Sunset Boulevard,1950
The Great Dictator,1940
The Pianist,2002
The Intouchables,2011
Once Upon a Time in the West,1968
Lon- The Professional,1994
Spirited Away,2001
Life Is Beautiful,1997
